latitude,longitude,altitude,timestamp,heart_rate,cadence,elevation
55.922533040866256,11.669428842142224,-0.19999999999998863,2022-10-08 13:23:51+02:00,163,78,9.694499969482422
55.92233254574239,11.669492376968265,-3.3999999999999773,2022-10-08 13:23:55+02:00,161,80,8.885817527770996
55.92215023934841,11.669652806594968,-4.800000000000011,2022-10-08 13:24:00+02:00,162,78,7.853458881378174
55.92195368371904,11.669698907062411,-6.199999999999989,2022-10-08 13:24:08+02:00,161,76,7.136558532714844
55.92183214612305,11.669634701684117,-9.0,2022-10-08 13:24:15+02:00,158,71,6.8227458000183105
55.92182368040085,11.669639311730862,-8.0,2022-10-08 13:24:18+02:00,156,0,6.790614604949951
55.9218280389905,11.669722124934196,-7.800000000000011,2022-10-08 13:24:22+02:00,155,0,6.707914352416992
55.92183516360819,11.669756742194295,-9.0,2022-10-08 13:24:26+02:00,155,0,6.690134048461914
55.921853771433234,11.669824803248048,-10.399999999999977,2022-10-08 13:24:31+02:00,150,61,6.669790267944336
55.92185947112739,11.669846260920167,-10.399999999999977,2022-10-08 13:24:32+02:00,147,61,6.662864685058594
55.921967681497335,11.670109201222658,-9.600000000000023,2022-10-08 13:24:40+02:00,148,76,6.649021148681641
55.92198955826461,11.670189499855042,-10.0,2022-10-08 13:24:43+02:00,148,78,6.605774879455566
55.92214814387262,11.67015915736556,-10.0,2022-10-08 13:24:49+02:00,153,80,7.198496341705322
55.92219667509198,11.670193104073405,-9.800000000000011,2022-10-08 13:24:50+02:00,155,80,7.334619522094727
55.92225082218647,11.670427797362208,-8.199999999999989,2022-10-08 13:24:56+02:00,161,79,7.315886497497559
55.92225811444223,11.670529218390584,-7.399999999999977,2022-10-08 13:24:57+02:00,161,79,7.3367600440979
55.92227035202086,11.670643715187907,-6.800000000000011,2022-10-08 13:25:00+02:00,154,79,7.374160289764404
55.92228158377111,11.67075234465301,-7.600000000000023,2022-10-08 13:25:01+02:00,150,79,7.407873630523682
55.92228158377111,11.67075234465301,-7.600000000000023,2022-10-08 13:25:02+02:00,150,79,7.407873630523682
55.922238836064935,11.670932890847325,-6.399999999999977,2022-10-08 13:25:06+02:00,154,77,7.204331398010254
55.92212769202888,11.671191472560167,-7.800000000000011,2022-10-08 13:25:12+02:00,156,76,6.711946964263916
55.92210045084357,11.671299180015922,-7.399999999999977,2022-10-08 13:25:13+02:00,155,76,6.564943313598633
55.92194966040552,11.671483078971505,-9.399999999999977,2022-10-08 13:25:19+02:00,158,76,5.866102695465088
55.92192669399083,11.671529514715075,-10.0,2022-10-08 13:25:22+02:00,160,75,5.747009754180908
